houde 1989 Bull. Mar. Sci. larval growth,,,,,,,,,,,
Species,Spawning mode,Temperature,Min mass mg,Max mass mg,midpoint mass ug,growth rate ug/ug/day,temp,ln mass,ln gr,Notes,Source
Dicentrarchus labrax,pelagic,16.5,0.09,2.8,0.00578,0.125,16.5,-5.153351596,-7.232793138,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Haemulon flavolineatum,pelagic,27.5,0.02,10,0.02004,0.325,27.5,-3.910025003,-5.033955099,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Archosargus rhomboidalis,pelagic,26,0.01,4.2,0.00842,0.31,26,-4.777145451,-5.948328432,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Pagrus major,,20,0.05,13.7,0.0275,0.195,20,-3.593569274,-5.228324995,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Sparus aurata,,17.5,0.002,10,0.020004,0.12,17.5,-3.911823025,-6.032086562,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Cynoscion nebulosus,,28,0.02,1.6,0.00324,0.365,28,-5.732181949,-6.740039875,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Ammodytes americanus,demersal,5,0.04,10,0.02008,0.06,5,-3.908030984,-6.721441701,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Scomber japonicus,pelagic,19.5,0.03,34.45,0.06896,0.34,19.5,-2.674228653,-3.753038314,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Scomber scombrus,pelagic,15,0.05,2.23,0.00456,0.14,15,-5.390432655,-7.356545512,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Scophthalmus maximus,pelagic,15.5,0.04,10,0.02008,0.175,15.5,-3.908030984,-5.651000289,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Pseudopleuronectes americanus,demersal,6,60.04,1.45,0.12298,0.08,6,-2.095733538,-4.621462183,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Achirus lineatus,,28,0.01,0.2,0.00042,0.245,28,-7.775255847,-9.181752915,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Solea solea,pelagic,18,0.3,8,0.0166,0.155,18,-4.098352584,-5.962682746,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Sillago japonica,,,,,,0.002113551,25,-4.7396233,-6.1593858,The growth rate and mass represent averages for the species (no temperature variation).,Barneche & Allen 2018 Eco. Lett.
Solea senegalensis,,,,,,0.000872223,19.5,-5.3526147,-7.0444655,The growth rate and mass represent averages for the species (no temperature variation).,Barneche & Allen 2018 Eco. Lett.
Hippoglossus hippoglossus,,,,,,0.000147481,6.5,-5.9707326,-8.8218139,The growth rate and mass represent averages for the species (no temperature variation).,Barneche & Allen 2018 Eco. Lett.
Coregonus Schinzi,,,,,,0.0135604,13.5,-1.7897615,-4.3006015,,Barneche & Allen 2018 Eco. Lett.
